  PID TTY          TIME CMD
 1363 tty1     00:00:00 gsd-housekeepin
 1366 tty1     00:00:00 gsd-keyboard
 1367 tty1     00:00:00 gsd-media-keys
 1376 tty1     00:00:00 gsd-mouse
 1381 tty1     00:00:00 gsd-power
 1387 tty1     00:00:00 gsd-print-notif
 1390 tty1     00:00:00 gsd-rfkill
 1392 tty1     00:00:00 gsd-screensaver
 1404 tty1     00:00:00 gsd-sharing
 1411 tty1     00:00:00 gsd-smartcard
 1433 tty1     00:00:00 gsd-sound
 1436 tty1     00:00:00 gsd-wacom
 1451 ?        00:00:00 master
 1466 tty1     00:00:00 ibus-engine-sim
 1498 ?        00:00:00 colord
 2193 ?        00:00:00 kworker/u8:6
 2194 ?        00:00:00 kworker/u8:7
 2195 ?        00:00:00 kworker/u8:8
 2196 ?        00:00:00 kworker/u8:9
 2197 ?        00:00:00 kworker/u8:10
 2198 ?        00:00:00 kworker/u8:11
 2199 ?        00:00:00 kworker/u8:12
 2200 ?        00:00:00 kworker/u8:13
 2201 ?        00:00:00 kworker/u8:14
 2202 ?        00:00:00 kworker/u8:15
 2203 ?        00:00:00 kworker/u8:16
 2204 ?        00:00:00 kworker/u8:17
 2205 ?        00:00:00 kworker/u8:18
 2206 ?        00:00:00 kworker/u8:19
 2207 ?        00:00:00 kworker/u8:20
 2208 ?        00:00:00 kworker/u8:21
 2209 ?        00:00:00 kworker/u8:22
 2210 ?        00:00:00 kworker/u8:23
 2211 ?        00:00:00 kworker/u8:24
 2212 ?        00:00:00 kworker/u8:25
 2213 ?        00:00:00 kworker/u8:26
 2214 ?        00:00:00 kworker/u8:27
 2215 ?        00:00:00 kworker/u8:28
 2216 ?        00:00:00 kworker/u8:29
 2217 ?        00:00:00 kworker/u8:30
 2218 ?        00:00:00 kworker/u8:31
 2219 ?        00:00:00 kworker/u8:32
 2220 ?        00:00:00 kworker/u8:33
 2221 ?        00:00:00 kworker/u8:34
 2222 ?        00:00:00 kworker/u8:35
 2223 ?        00:00:00 kworker/u8:36
 2224 ?        00:00:00 kworker/u8:37
 2225 ?        00:00:00 kworker/u8:38
 2226 ?        00:00:00 kworker/u8:39
 2227 ?        00:00:00 kworker/u8:40
 2228 ?        00:00:00 kworker/u8:41
 2229 ?        00:00:00 kworker/u8:42
 2230 ?        00:00:00 kworker/u8:43
 2231 ?        00:00:00 kworker/u8:44
 2232 ?        00:00:00 kworker/u8:45
 2233 ?        00:00:00 kworker/u8:46
 2234 ?        00:00:00 kworker/u8:47
 2235 ?        00:00:00 kworker/u8:48
 2236 ?        00:00:00 kworker/u8:49
 2237 ?        00:00:00 kworker/u8:50
 2238 ?        00:00:00 kworker/u8:51
 2239 ?        00:00:00 kworker/u8:52
 2240 ?        00:00:00 kworker/u8:53
 2241 ?        00:00:00 kworker/u8:54
